ZipCode,Population,HouseholdsPerZipCode,WhitePop,BlackPop,HispanicPop,AsianPop,HawaiianPop,IndianPop,MalePop,FemalePop,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold
766,26488,8512,22456,2823,26395,28,7,127,13061,13427,3.1,50000,11728
767,38019,13532,27861,8023,37764,100,19,474,18546,19473,2.8,59500,12292
769,40248,14194,32035,5150,40075,44,39,246,19605,20643,2.83,60400,12064
771,38394,13961,29441,6818,38154,59,35,330,18604,19790,2.74,70200,14622
772,23105,7832,4205,17743,22989,44,14,200,10964,12141,2.94,58400,8962
773,20068,7302,13781,4723,19651,70,15,323,9543,10525,2.74,82200,13631
775,1786,737,1207,672,1639,6,2,38,905,881,2.42,67000,17008
777,40684,14518,31414,7532,40397,46,21,329,19476,21208,2.79,70600,13072
778,45429,15770,35342,8995,45074,84,31,522,21760,23669,2.86,79800,16451
780,13800,4633,11735,1470,13728,24,5,87,6743,7057,2.97,23800,12092
782,19304,6620,15706,2165,19222,27,27,310,9593,9711,2.91,57000,11027
783,36557,12255,31726,2232,36350,41,21,167,17825,18732,2.97,63800,11786
784,44637,15961,32532,10216,44240,108,50,767,22335,22302,2.65,61700,12180
785,,,,,,,,,,,,12500,
786,357,133,334,16,353,,,,176,181,2.68,,
791,53417,19904,38132,11698,52876,167,38,805,25405,28012,2.65,74000,14464
792,,,,,,,,,,,,,
794,30585,10273,26793,1968,30374,22,27,153,15068,15517,2.94,62000,11322
795,48736,16554,37659,7839,48439,82,16,382,23509,25227,2.94,71700,12892
801,,,,,,,,,,,,,
802,,,,,,,,,,,,,
803,,,,,,,,,,,,,
804,,,,,,,,,,,,,
805,,,,,,,,,,,,,
820,,,,,,,,,,,,,
821,,,,,,,,,,,,,
822,,,,,,,,,,,,,
823,,,,,,,,,,,,,
824,,,,,,,,,,,,45000,
830,,,,,,,,,,,,362500,
831,,,,,,,,,,,,,
840,,,,,,,,,,,,85000,
841,,,,,,,,,,,,,
850,,,,,,,,,,,,,
851,,,,,,,,,,,,,
901,7080,3281,5309,1324,6640,42,3,74,3535,3545,1.87,215600,9751
902,,,,,,,,,,,,,
906,4,3,2,,2,2,,,3,1,1.33,75000,7361
907,17458,9234,13338,2657,16426,227,18,268,8315,9143,1.87,146900,21485
908,,,,,,,,,,,,,
909,6230,2811,4034,2070,6138,47,9,107,2908,3322,2.18,71000,13840
910,,,,,,,,,,,,,
911,8623,4491,6486,1468,8040,136,5,139,4059,4564,1.9,123200,24987
912,6801,3123,4116,2342,6665,52,3,108,3068,3733,2.09,73900,14506
913,9312,3646,5763,2623,9109,26,18,95,4124,5188,2.49,188800,6450
914,,,,,,,,,,,,,
915,32820,13574,17589,11724,32348,295,54,650,15666,17154,2.41,55400,10038
916,,,,,,,,,,,,,
917,21053,9567,14734,4548,20791,194,19,322,9874,11179,2.17,325000,12068
918,18056,8886,14059,2642,17740,96,13,200,7814,10242,2.03,150900,27639
919,,,,,,,,,,,,,
920,17893,7727,12515,4109,17652,92,18,293,8127,9766,2.31,97000,20759
921,37763,15221,27017,8953,37307,176,26,499,16929,20834,2.44,96600,15923
922,,,,,,,,,,,,30700,
923,29086,11890,18613,7268,28717,202,33,396,13278,15808,2.41,144400,12594
924,56691,21565,38551,13783,56064,282,66,877,25613,31078,2.58,92300,14820
925,8696,4001,5109,2149,8408,125,16,169,4359,4337,1.88,109100,11970
926,108862,41730,85365,17047,107512,377,59,1046,50205,58657,2.59,132000,26306
927,14936,6681,12453,1715,14651,56,8,115,6564,8372,2.21,171100,30625
928,,,,,,,,,,,,,
929,,,,,,,,,,,,,
930,,,,,,,,,,,,,
931,,,,,,,,,,,,,
933,,,,,,,,,,,,,
934,288,92,211,54,178,3,,4,147,141,3.13,55000,37063
935,,,,,,,,,,,,37500,
936,681,2,344,337,673,,,,440,241,2.5,,
937,,,,,,,,,,,,,
939,,,,,,,,,,,,350000,
940,,,,,,,,,,,,,
949,82278,29899,61319,14726,81357,331,51,862,39011,43267,2.74,88600,18968
950,9,3,,2,8,,,,4,5,3,,
951,35,13,24,8,35,,,,17,18,2.69,,
952,10008,3638,6492,2819,9951,26,5,96,4787,5221,2.74,67100,14398
953,73014,24163,57896,8832,72518,160,39,602,35370,37644,3.01,90100,20313
954,,,,,,,,,,,,,
955,,,,,,,,,,,,,
956,79304,29037,64403,9561,78579,209,65,789,37950,41354,2.7,88600,17956
957,45680,16379,37361,5562,45292,158,34,496,21236,24444,2.77,91400,17866
958,,,,,,,,,,,,,
959,50560,19872,41281,6374,49871,188,24,504,23106,27454,2.52,54400,22301
960,1779,,1217,527,1766,1,2,3,1764,15,,,
961,32429,12122,25942,4635,32090,130,9,263,15555,16874,2.56,325000,23219
962,22491,8092,15977,3835,22301,62,15,288,10596,11895,2.78,84500,12852
963,,,,,,,,,,,,,
965,9134,3349,6253,2019,9056,35,7,172,4433,4701,2.69,50800,10978
966,16676,6997,14874,1277,16319,38,13,91,7560,9116,2.38,268800,49354
968,3478,1870,3225,134,3386,25,2,15,1414,2064,1.86,149800,38075
969,42219,16172,36381,3761,41340,157,10,311,19413,22806,2.59,163900,35516
970,,,,,,,,,,,,,
971,30986,11381,24095,4760,30767,72,24,252,15166,15820,2.7,83500,16045
975,,,,,,,,,,,,,
976,65136,23679,48196,11332,64442,219,32,829,30879,34257,2.72,100800,22143
977,,,,,,,,,,,,137500,
978,,,,,,,,,,,,84300,
979,17030,8227,13313,2600,16207,176,17,217,7856,9174,2.07,85000,29234
981,,,,,,,,,,,,,
982,16428,6457,10778,4512,16251,80,3,181,7463,8965,2.54,92300,20906
983,39234,14871,25173,10555,38714,212,17,457,18001,21233,2.63,95600,20012
984,,,,,,,,,,,,,
985,36553,13410,23341,10311,36198,188,26,601,16967,19586,2.71,91300,18854
986,,,,,,,,,,,,,
987,63661,22689,42938,15456,63044,270,32,651,29866,33795,2.79,95600,23884
988,,,,,,,,,,,,,
1001,16769,7215,15889,401,560,423,16,103,7845,8924,2.23,127300,45735
1002,29049,9910,23638,2002,2283,3480,35,296,13950,15099,2.44,178200,42567
1003,10372,5,8291,764,529,1387,19,76,5325,5047,3.2,,
1004,,,,,,,,,,,,,
1005,5079,1904,4958,93,89,35,,52,2570,2509,2.61,123800,50395
1007,14649,5595,13977,318,385,371,21,110,7133,7516,2.62,145100,52425
1008,1263,503,1250,6,17,11,,2,653,610,2.51,128100,52663
1009,741,315,719,7,15,3,,4,386,355,2.35,,
1010,3609,1429,3548,53,79,29,5,32,1790,1819,2.53,136900,50181
1011,1370,560,1359,1,13,13,,9,706,664,2.45,108100,45511
1012,661,283,652,7,10,6,1,3,334,327,2.34,125400,50938
1013,23188,9578,19898,1249,5111,311,48,265,10902,12286,2.36,100000,32412
1014,,,,,,,,,,,,,
1020,29668,13070,27196,1031,2818,574,47,164,14353,15315,2.26,109200,37282
1021,,,,,,,,,,,,,
1022,2451,1094,1991,349,267,49,3,30,1156,1295,1.81,75300,41083
1026,946,432,935,4,14,4,,6,472,474,2.19,122200,42917
1027,17660,7847,16838,271,620,467,14,111,8402,9258,2.24,125000,45921
1028,15720,5851,15008,296,357,440,8,58,7401,8319,2.61,146400,62835
1029,789,345,781,3,6,8,,6,412,377,2.29,135300,46528
1030,11669,4449,11314,161,380,178,1,63,5747,5922,2.62,137300,55724
1031,1308,521,1280,17,28,1,2,13,656,652,2.51,117900,44333
1032,570,235,564,4,3,2,,8,277,293,2.43,123800,52500
1033,6227,2368,6073,52,130,83,2,42,3077,3150,2.63,133500,54173
1034,2021,794,1981,19,35,15,1,20,1019,1002,2.55,143000,53333
1035,5250,2107,4878,136,163,248,2,33,2507,2743,2.41,170400,51851
1036,5109,1887,4988,44,75,94,6,11,2484,2625,2.66,154700,65196
1037,838,230,822,13,14,5,,7,440,398,2.74,145200,56094
1038,2545,1123,2500,19,41,18,,9,1225,1320,2.27,167000,50030
1039,1336,610,1314,10,23,16,1,8,618,718,2.19,128500,53750
1040,39880,15361,27549,2466,19313,574,121,585,18701,21179,2.51,105600,30441
1041,,,,,,,,,,,,,
1050,2530,998,2498,19,51,20,3,26,1272,1258,2.54,116500,49336
1053,1685,600,1580,62,55,30,5,14,840,845,2.18,164200,56094
1054,1851,762,1782,41,39,57,4,30,922,929,2.41,172600,60208
1056,21103,8080,20096,601,1183,242,24,82,10839,10264,2.46,127300,47053
1057,8534,3306,8372,117,151,79,4,46,4180,4354,2.58,132800,52159
1059,,,,,,,,,,,,,
1060,15284,6782,13495,625,1080,946,24,158,6211,9073,1.95,152000,38739
1061,,,,,,,,,,,,,
1062,11150,4617,10319,341,764,383,14,107,5260,5890,2.35,138400,47115
1063,430,1,321,31,29,89,,2,1,429,2,,
1066,64,25,64,,,,,,30,34,2.56,,
1068,1902,685,1872,24,46,12,1,9,955,947,2.77,144800,60781
1069,8469,3519,8230,147,197,103,5,66,4228,4241,2.36,122100,42154
1070,629,260,608,16,9,5,,2,314,315,2.41,121700,36500
1071,1596,597,1571,18,34,6,,8,786,810,2.67,123100,46500
1072,1478,601,1413,50,41,41,1,28,704,774,2.46,146800,56563
1073,5792,2249,5706,33,85,58,3,16,2808,2984,2.58,155400,61831
1074,319,121,315,,14,2,,3,157,162,2.64,,
1075,17527,6799,16116,560,753,882,20,109,7183,10344,2.25,136100,46731
1077,9502,3710,9270,113,198,105,12,63,4714,4788,2.56,140800,52296
1079,692,280,684,15,17,1,,9,350,342,2.47,,
1080,2334,989,2260,44,64,28,,17,1118,1216,2.36,112100,39155
1081,1698,679,1665,26,29,9,,18,857,841,2.5,108400,48125
1082,10322,4285,9947,225,390,118,18,91,5085,5237,2.41,114400,37438
1083,2888,1157,2841,45,74,8,2,33,1438,1450,2.5,113000,37250
1084,176,77,173,,6,,1,1,90,86,2.29,110200,58125
1085,41117,15613,38865,953,3075,688,51,327,20111,21006,2.49,133900,45482
1086,687,,652,24,31,10,1,6,338,349,,,
1088,670,335,656,13,6,7,,3,344,326,2,162000,40250
1089,28391,12124,25059,1180,2471,1454,46,180,13854,14537,2.33,123000,40266
1090,,,,,,,,,,,,,
1092,1394,531,1365,10,33,14,2,19,698,696,2.62,113500,33750
1093,325,145,322,4,2,,,2,162,163,2.24,,
1094,351,161,346,3,8,,,4,150,201,2.18,,
1095,14319,5346,13607,372,393,351,9,49,6782,7537,2.63,172100,64691
1096,2217,927,2187,9,40,17,,12,1053,1164,2.39,140400,46364
1097,111,38,111,,6,,,,51,60,2.92,,
1098,1101,503,1088,7,12,13,,11,543,558,2.19,130800,52734
1101,,,,,,,,,,,,,
1102,,,,,,,,,,,,,
1103,2479,1498,1289,506,1347,87,8,49,1196,1283,1.59,225000,17899
1104,22865,8748,13798,3717,11132,465,67,413,10859,12006,2.58,79800,29138
1105,12350,5024,5060,3221,7726,180,54,263,5920,6430,2.33,69300,15648
1106,16021,5886,14983,239,377,869,14,41,7487,8534,2.63,202600,74146
1107,11611,3871,5470,1640,9124,95,67,260,5523,6088,2.98,86500,17574
1108,26688,9714,14178,5833,10409,1711,130,412,12750,13938,2.73,88800,32011
1109,30250,9750,11284,14255,10264,487,117,537,14221,16029,2.84,76100,27463
1111,,,,,,,,,,,,,
1115,,,,,,,,,,,,,
1116,,,,,,,,,,,,,
1118,14071,5708,10897,2281,2004,588,23,125,6466,7605,2.44,96700,47711
1119,14152,4982,9341,3392,3107,317,45,206,6760,7392,2.51,89000,39728
1128,2631,1047,2195,304,214,99,5,18,1331,1300,2.51,103100,57734
1129,7019,2893,5114,1384,1196,231,12,103,3313,3706,2.41,95900,46076
1138,,,,,,,,,,,,,
1139,,,,,,,,,,,,,
1144,,,,,,,,,,,,,
1151,8698,3369,5782,1773,2921,188,26,167,4128,4570,2.58,84200,27808
1152,,,,,,,,,,,,,
1199,,,,,,,,,,,,,
1201,46504,20419,42475,3306,2260,749,49,326,22327,24177,2.22,102000,36448
1202,,,,,,,,,,,,,
1203,,,,,,,,,,,,,
1220,8603,3962,8460,123,101,62,8,60,4148,4455,2.17,97400,33102
1222,829,336,808,17,35,3,1,4,400,429,2.47,131100,51250
1223,2314,986,2269,13,43,16,,15,1168,1146,2.35,112100,48750
1224,182,77,173,2,,10,,,93,89,2.36,,
1225,3117,1348,3078,24,32,24,,12,1579,1538,2.31,119600,40399
1226,6945,2803,6794,82,109,71,4,28,3331,3614,2.44,115700,49238
1227,,,,,,,,,,,,,
1229,95,49,94,1,,1,,,40,55,1.94,,
1230,8430,3479,7930,285,415,177,7,76,4053,4377,2.2,169500,45630
1235,2766,1166,2727,26,18,13,1,18,1401,1365,2.37,108800,42467
1236,1509,641,1467,24,51,21,2,14,724,785,2.28,147700,48281
1237,2496,1029,2430,58,41,15,2,4,1253,1243,2.43,114500,45951
1238,6047,2588,5769,77,257,114,1,42,2906,3141,2.27,133400,42538
1240,4534,2089,4362,83,110,85,8,38,2044,2490,2.05,184600,43700
1242,476,196,464,,14,15,,,224,252,2.41,131600,80783
1243,334,144,332,1,1,1,,,166,168,2.32,,
1244,151,56,151,,,,,1,77,74,2.7,,
1245,985,436,966,16,7,1,,,477,508,2.17,175500,50903
